site,lat,long,year,month,ppt
BM,36.06,-118.39,1906,8,28.0419998168945
BM,36.06,-118.39,1906,9,0
BM,36.06,-118.39,1906,10,0
BM,36.06,-118.39,1906,11,33.826000213623
BM,36.06,-118.39,1906,12,264.963989257812
BM,36.06,-118.39,1908,1,120.813003540039
BM,36.06,-118.39,1908,2,112.077003479004
BM,36.06,-118.39,1908,3,34.7210006713867
BM,36.06,-118.39,1908,4,23.5009994506836
BM,36.06,-118.39,1908,5,77.7310028076172
BM,36.06,-118.39,1908,6,0
BM,36.06,-118.39,1908,7,11.8070001602173
BM,36.06,-118.39,1908,8,6.97399997711182
BM,36.06,-118.39,1908,9,22.3589992523193
BM,36.06,-118.39,1908,10,25.7089996337891
BM,36.06,-118.39,1908,11,48.5209999084473
BM,36.06,-118.39,1908,12,47.5929985046387
BM,36.06,-118.39,1909,1,563.861022949219
BM,36.06,-118.39,1909,2,276.970001220703
BM,36.06,-118.39,1909,3,139.02099609375
BM,36.06,-118.39,1909,4,5.58400011062622
BM,36.06,-118.39,1909,5,9.39999961853027
BM,36.06,-118.39,1909,6,8.90799999237061
BM,36.06,-118.39,1909,7,0
BM,36.06,-118.39,1909,8,9.65200042724609
BM,36.06,-118.39,1909,9,0
BM,36.06,-118.39,1909,10,29.6550006866455
BM,36.06,-118.39,1909,11,148.884002685547
BM,36.06,-118.39,1909,12,306.667999267578
BM,36.06,-118.39,1910,1,143.550994873047
BM,36.06,-118.39,1910,2,48.5040016174316
BM,36.06,-118.39,1910,3,81.2679977416992
BM,36.06,-118.39,1910,4,31.8360004425049
BM,36.06,-118.39,1910,5,5.29199981689453
BM,36.06,-118.39,1910,6,0
BM,36.06,-118.39,1910,7,29.1310005187988
BM,36.06,-118.39,1910,8,0
BM,36.06,-118.39,1910,9,15.1260004043579
BM,36.06,-118.39,1910,10,29.423999786377
BM,36.06,-118.39,1910,11,40.0349998474121
BM,36.06,-118.39,1910,12,58.8800010681152
BM,36.06,-118.39,1911,1,454.481994628906
BM,36.06,-118.39,1911,2,92.5800018310547
BM,36.06,-118.39,1911,3,219.401000976562
BM,36.06,-118.39,1911,4,68.7959976196289
BM,36.06,-118.39,1911,5,18.2789993286133
BM,36.06,-118.39,1911,6,1.81900000572205
BM,36.06,-118.39,1911,7,22.9619998931885
BM,36.06,-118.39,1911,8,0
BM,36.06,-118.39,1911,9,9.52799987792969
BM,36.06,-118.39,1911,10,5.47800016403198
BM,36.06,-118.39,1911,11,37.0830001831055
BM,36.06,-118.39,1911,12,80.5390014648438
BM,36.06,-118.39,1912,1,69.572998046875
BM,36.06,-118.39,1912,2,12.6859998703003
BM,36.06,-118.39,1912,3,145.994003295898
BM,36.06,-118.39,1912,4,105.810997009277
BM,36.06,-118.39,1912,5,28.1459999084473
BM,36.06,-118.39,1912,6,0.0769999995827675
BM,36.06,-118.39,1912,7,0
BM,36.06,-118.39,1912,8,0
BM,36.06,-118.39,1912,9,9.24199962615967
BM,36.06,-118.39,1912,10,10.1829996109009
BM,36.06,-118.39,1912,11,43.3559989929199
BM,36.06,-118.39,1912,12,26.9990005493164
BM,36.06,-118.39,1913,1,136.904998779297
BM,36.06,-118.39,1913,2,81.4680023193359
BM,36.06,-118.39,1913,3,62.2599983215332
BM,36.06,-118.39,1913,4,32.25
BM,36.06,-118.39,1913,5,51.351001739502
BM,36.06,-118.39,1913,6,27.951000213623
BM,36.06,-118.39,1913,7,65.3980026245117
BM,36.06,-118.39,1913,8,47.9529991149902
BM,36.06,-118.39,1913,9,0
BM,36.06,-118.39,1913,10,0
BM,36.06,-118.39,1913,11,108.496002197266
BM,36.06,-118.39,1913,12,148.552001953125
BM,36.06,-118.39,1914,1,516.635986328125
BM,36.06,-118.39,1914,2,99.7799987792969
BM,36.06,-118.39,1914,3,26.2590007781982
BM,36.06,-118.39,1914,4,73.1959991455078
BM,36.06,-118.39,1914,5,23.6019992828369
BM,36.06,-118.39,1914,6,15.9329996109009
BM,36.06,-118.39,1914,7,6.47300004959106
BM,36.06,-118.39,1914,8,0
BM,36.06,-118.39,1914,9,6.61399984359741
BM,36.06,-118.39,1914,10,16.3610000610352
BM,36.06,-118.39,1914,11,5.6560001373291
BM,36.06,-118.39,1914,12,88.5999984741211
BM,36.06,-118.39,1915,1,169.434005737305
BM,36.06,-118.39,1915,2,244.888000488281
BM,36.06,-118.39,1915,3,51.056999206543
BM,36.06,-118.39,1915,4,105.533996582031
BM,36.06,-118.39,1915,5,164.014999389648
BM,36.06,-118.39,1915,6,0
BM,36.06,-118.39,1915,7,2.67499995231628
BM,36.06,-118.39,1915,8,0
BM,36.06,-118.39,1915,9,1.27100002765656
