year,summer_ppt,summer_tmin,summer_tmax,summer_tmean,summer_td_mean,summer_vpdmin,summer_vpdmax
1895,57.67600083351138,6.771999955177308,18.080250263214126,12.426000595092775,-0.2635000348091125,3.878249943256375,14.678750038146974
1896,102.79599857330321,7.250750064849853,18.0562500953674,12.6532504558563,0.82849997282028,3.68875002861023,14.2737500667572
1897,11.035999818705015,7.930249810218802,17.795749902725202,12.862500667572021,0.5092500299215308,4.479499995708467,14.460500240325924
1898,19.57999956607818,7.920499801635742,19.786250114440925,13.853000640869125,0.6412500143051152,4.10725009441376,16.737499952316274
1899,49.448000907898,6.197499990463255,20.25149965286255,13.22375082969665,0.021249979734420166,3.42024999856949,17.809999942779548
1900,28.51199984550471,6.074499964714048,18.528000116348274,12.3007504940033,0.1920000463724127,3.1457499861717224,15.67949962615965
1901,47.0480003356934,6.01574993133545,19.45499992370605,12.73475074768066,-0.09324994683265497,3.4315000772476196,16.848249912261974
1902,19.978999853134173,5.19474995136261,20.4590001106262,12.82675075531005,-0.05175000429153498,2.8522499799728402,18.41624975204465
1903,1.103000015020371,6.033750116825105,19.8852500915527,12.959000587463375,-0.4839999526739121,3.593000054359435,18.317250251770027
1904,110.1919984817506,6.716500103473665,19.6812500953674,13.198500394821176,0.5185000188648713,3.500749945640565,16.729000091552724
1905,3.16499996185303,4.97799998521805,20.67075061798095,12.8240005970001,-0.41674998402595503,2.8489999771118173,17.848999738693227
1906,98.9679985046386,5.404000043869018,20.492249488830574,12.947250604629506,0.3410000503063199,2.6559999883174923,17.88399958610535
1907,41.40699958801268,4.400499880313875,18.285749673843373,11.342500448226943,-0.029500007629395086,2.480250000953675,15.414750099182125
1908,41.13999938964842,8.21025007963182,21.226250171661377,14.717750310897825,-0.23074999451637251,5.109999895095825,20.19274973869325
1909,18.5600004196167,7.101249992847455,18.513999700546226,12.80725073814393,-0.3427500128746035,4.251500129699705,15.968500137329125
1910,44.257000923156696,7.57924997806549,18.587500333786,13.08300042152405,-0.6027499921619898,4.515249967575072,16.039749622344974
1911,34.30899977684024,5.9692500233650225,17.630750179290775,11.799500465393072,-0.6839999845251443,3.5837500691413875,14.9355001449585
1912,9.318999625742437,5.2430001497268695,17.427999973297126,11.335250377655026,-0.06275001168251154,2.7867500185966474,14.3362500667572
1913,141.30200195312491,6.379249930381775,17.57050013542175,11.974250555038452,0.8147499561309824,3.0632500648498526,14.2742500305176
1914,29.01999950408937,6.378999888896943,19.240499973297126,12.809000253677375,-0.16400000452995495,3.4397500157356276,16.53449964523315
1915,3.9459999799728402,5.808750033378602,18.502500057220477,12.155000448226938,-0.4702499359846113,3.171250104904175,16.06574988365175
