year,tree_id,rwi
1800,BMC42A_raw,1.1978615709114773
1800,BMC42B_raw,0.8377953045640512
1800,BMC43A_raw,1.7288190585082222
1800,BMC47A_raw,0.9662283323481743
1800,BMC47B_raw,1.1476929809463445
1800,BMC48B_raw,1.0907106386486525
1800,BMC49A_raw,1.1193920271693412
1800,BMC51A_raw,1.3797161415909724
1800,BMC52A_raw,1.5750437689534689
1800,BMC53A_raw,1.0591724874805397
1800,BMC54A_raw,1.3253996898826363
1800,BMC54B_raw,1.2482440670253803
1800,BMC57A_raw,0.9901220996899882
1800,BMC57B_raw,1.6773367510813157
1800,BMC58A_raw,1.1630418604820252
1800,BMC58B_raw,1.1879584831751069
1800,BMC59A_raw,0.7128683893714441
1800,BMC59B_raw,1.327033163109726
1800,BMC60A_raw,0.9747825381032765
1800,BMC60B_raw,0.9584920817791597
1800,BMC61B_raw,1.22147701496827
1800,BMC62B_raw,0.9353148116686482
1801,BMC42A_raw,1.0012791425710124
1801,BMC42B_raw,0.888975978473051
1801,BMC43A_raw,1.3079397553747154
1801,BMC47A_raw,1.1429247822071764
1801,BMC47B_raw,1.182191611851059
1801,BMC48B_raw,0.9626295185581193
1801,BMC49A_raw,1.5050865908542719
1801,BMC51A_raw,1.2504951533823836
1801,BMC52A_raw,1.4973535618516849
1801,BMC53A_raw,0.9079785520076589
1801,BMC54A_raw,1.1913640139948884
1801,BMC54B_raw,1.055133512633954
1801,BMC57A_raw,1.196824892889793
1801,BMC57B_raw,2.0421506626287047
1801,BMC58A_raw,1.4294542343973677
1801,BMC58B_raw,1.175594640724745
1801,BMC59A_raw,1.328756728892103
1801,BMC59B_raw,1.1731004529105462
1801,BMC60A_raw,1.176485575881949
1801,BMC60B_raw,1.1631767053740465
1801,BMC61B_raw,1.07625556049664
1801,BMC62B_raw,1.1284056389826838
1802,BMC42A_raw,1.2005397622203755
1802,BMC42B_raw,0.9350151091699519
1802,BMC43A_raw,1.3912393104728962
1802,BMC47A_raw,1.378697542356412
1802,BMC47B_raw,1.3519040196215104
1802,BMC48B_raw,1.2996100904021626
1802,BMC49A_raw,1.1717357816332123
1802,BMC51A_raw,1.2375616647579428
1802,BMC52A_raw,1.5695634951604787
1802,BMC53A_raw,1.3268556998021592
1802,BMC54A_raw,1.2871947618045017
1802,BMC54B_raw,1.2669506178462673
1802,BMC57A_raw,1.1864976492477657
1802,BMC57B_raw,1.9526152992860635
1802,BMC58A_raw,1.2021704557918695
1802,BMC58B_raw,1.1348158355362337
1802,BMC59A_raw,1.166896148369213
1802,BMC59B_raw,1.372557128655474
1802,BMC60A_raw,1.323457528945007
1802,BMC60B_raw,1.2120814913079005
1802,BMC61B_raw,1.4838128179609402
1802,BMC62B_raw,1.0650928315418162
1803,BMC42A_raw,0.9684904325787186
1803,BMC42B_raw,0.9190261187196361
1803,BMC43A_raw,0.9949768051776036
1803,BMC47A_raw,0.9273169965765723
1803,BMC47B_raw,1.2850753753752515
1803,BMC48B_raw,0.8093818299977102
1803,BMC49A_raw,1.1058323253753848
1803,BMC51A_raw,1.2355220034693601
1803,BMC52A_raw,1.3879753817427274
1803,BMC53A_raw,1.129133546877393
1803,BMC54A_raw,1.1317878142788498
1803,BMC54B_raw,1.208551529054851
1803,BMC57A_raw,1.135120197693398
1803,BMC57B_raw,1.2238611514368856
1803,BMC58A_raw,1.3664258421378175
1803,BMC58B_raw,0.9518396922838164
1803,BMC59A_raw,1.2643171520697989
1803,BMC59B_raw,1.2041414248253697
1803,BMC60A_raw,1.0787492509814847
1803,BMC60B_raw,1.1035776031009539
1803,BMC61B_raw,1.1446758319810753
1803,BMC62B_raw,1.0658457960841772
1804,BMC42A_raw,0.8644148344312531
1804,BMC42B_raw,0.714018340524029
1804,BMC43A_raw,0.8028031556742744
1804,BMC47A_raw,0.9924132938189474
1804,BMC47B_raw,0.9474479391734567
1804,BMC48B_raw,0.9313141887589022
1804,BMC49A_raw,0.5869863649607928
1804,BMC51A_raw,1.0038226599009141
1804,BMC52A_raw,1.266691069483527
1804,BMC53A_raw,0.9769123699645017
1804,BMC54A_raw,0.860516755047743
1804,BMC54B_raw,1.100393859789499
1804,BMC57A_raw,1.1932031444477553
1804,BMC57B_raw,0.9604718947984036
1804,BMC58A_raw,1.1228404414280848
1804,BMC58B_raw,0.8536718413843581
1804,BMC59A_raw,0.9078315440405837
1804,BMC59B_raw,1.0495142843630527
1804,BMC60A_raw,1.063504881878046
1804,BMC60B_raw,1.0620527192298113
1804,BMC61B_raw,1.0479837961978022
1804,BMC62B_raw,0.9123523440710782
1805,BMC42A_raw,0.6782457514344702
1805,BMC42B_raw,0.7820042447616607
1805,BMC43A_raw,0.8623320828154264
1805,BMC47A_raw,0.9907323953944366
1805,BMC47B_raw,0.8464141613370788
1805,BMC48B_raw,0.5786816007025911
1805,BMC49A_raw,0.8393545299252955
1805,BMC51A_raw,1.0445656230299478
1805,BMC52A_raw,1.1309978874291327
1805,BMC53A_raw,1.010453399548696
1805,BMC54A_raw,1.029858178567832
1805,BMC54B_raw,0.9420902842473464
1805,BMC57A_raw,1.0453318166677232
1805,BMC57B_raw,0.9951993350253913
1805,BMC58A_raw,1.0358816732257436
1805,BMC58B_raw,0.8406958664188876
1805,BMC59A_raw,1.410544685156137
1805,BMC59B_raw,1.0081174476126686
1805,BMC60A_raw,0.9003458988494879
1805,BMC60B_raw,0.9748335559364282
1805,BMC61B_raw,1.0677539086705312
1805,BMC62B_raw,1.247228068669459
1806,BMC42A_raw,0.9950432901060524
1806,BMC42B_raw,0.8274886573473339
1806,BMC43A_raw,0.8499953189078527
1806,BMC47A_raw,0.8819020705655264
1806,BMC47B_raw,1.0501311803278754
1806,BMC48B_raw,0.5204528233144676
1806,BMC49A_raw,0.7561434020387707
1806,BMC51A_raw,1.116864552585859
1806,BMC52A_raw,1.3821993472819094
1806,BMC53A_raw,0.7636283044522424
1806,BMC54A_raw,1.0523456163549378
1806,BMC54B_raw,1.130946743833292
1806,BMC57A_raw,1.0069821312454619
1806,BMC57B_raw,1.351960299261416
1806,BMC58A_raw,1.068046711847214
1806,BMC58B_raw,0.8134013444158953
1806,BMC59A_raw,1.1350394265136938
1806,BMC59B_raw,1.194060150104365
1806,BMC60A_raw,0.8181476800358723
1806,BMC60B_raw,0.7505193126510533
1806,BMC61B_raw,1.0293171829724845
1806,BMC62B_raw,1.1964919829507503
1807,BMC42A_raw,1.5117225876027975
1807,BMC42B_raw,1.2167858825001248
1807,BMC43A_raw,1.053089622987654
1807,BMC47A_raw,1.0638078792479373
1807,BMC47B_raw,0.9264177297458498
1807,BMC48B_raw,0.6491186738959817
1807,BMC49A_raw,0.9250628200909541
1807,BMC51A_raw,1.1998428311513405
1807,BMC52A_raw,1.454775857739452
1807,BMC53A_raw,1.093608769841719
1807,BMC54A_raw,1.1065103034745476
1807,BMC54B_raw,1.1712533218677668
1807,BMC57A_raw,0.8715845083633672
1807,BMC57B_raw,1.1403821639453788
1807,BMC58A_raw,1.1138577134169698
1807,BMC58B_raw,0.9003453244176017
1807,BMC59A_raw,0.7459528881050186
1807,BMC59B_raw,1.1100270205459228
1807,BMC60A_raw,0.9101808139211895
1807,BMC60B_raw,1.0836757799170473
1807,BMC61B_raw,1.0588921273698637
1807,BMC62B_raw,1.1971432911000228
1808,BMC42A_raw,1.4663820775501981
1808,BMC42B_raw,1.1126303492316094
1808,BMC43A_raw,1.0766088943883902
1808,BMC47A_raw,1.1002950912830947
1808,BMC47B_raw,1.164276629310539
1808,BMC48B_raw,0.8064594186443481
1808,BMC49A_raw,1.1111429418404948
1808,BMC51A_raw,1.1996655404478593
1808,BMC52A_raw,1.4680126871651444
1808,BMC53A_raw,1.0493288911690275
1808,BMC54A_raw,1.0658486998219447
1808,BMC54B_raw,1.0868364753285862
1808,BMC57A_raw,0.7770296633230366
1808,BMC57B_raw,1.251243055353206
1808,BMC58A_raw,1.173511543095437
1808,BMC58B_raw,0.8014750884728518
1808,BMC59A_raw,1.0379344370003922
1808,BMC59B_raw,1.2252571064418352
1808,BMC60A_raw,1.0284431396925582
1808,BMC60B_raw,0.881040859251512
1808,BMC61B_raw,1.195443181229863
1808,BMC62B_raw,1.2363892216774675
1809,BMC42A_raw,1.6557943462056204
1809,BMC42B_raw,1.4132773643503918
1809,BMC43A_raw,1.2197103584244222
1809,BMC47A_raw,1.1169155993904314
1809,BMC47B_raw,0.9726061335457012
1809,BMC48B_raw,0.8078159404521809
1809,BMC49A_raw,0.640364930934068
1809,BMC51A_raw,1.0224617676302512
1809,BMC52A_raw,1.3776663559675064
1809,BMC53A_raw,1.036211486154833
1809,BMC54A_raw,1.151883362339952
1809,BMC54B_raw,1.1021703556750588
1809,BMC57A_raw,0.9880933340499265
1809,BMC57B_raw,1.6113863962016806
1809,BMC58A_raw,1.2607566319177363
1809,BMC58B_raw,0.7739691134182012
1809,BMC59A_raw,1.102887726573041
1809,BMC59B_raw,1.1267911160422535
1809,BMC60A_raw,0.9461863036279476
1809,BMC60B_raw,0.9181137353042559
1809,BMC61B_raw,1.215483038095034
1809,BMC62B_raw,1.0694687117359722
1810,BMC42A_raw,1.5399412710092706
1810,BMC42B_raw,1.0182516043294088
1810,BMC43A_raw,1.0519341812328014
1810,BMC47A_raw,0.9443064093371804
1810,BMC47B_raw,0.8599347357741564
1810,BMC48B_raw,0.9359969969021934
1810,BMC49A_raw,1.1470205602352228
1810,BMC51A_raw,0.9289427157827702
1810,BMC52A_raw,0.9916166349517069
1810,BMC53A_raw,1.0544877661175642
1810,BMC54A_raw,1.058252190539366
1810,BMC54B_raw,1.0045595124322886
1810,BMC57A_raw,0.9352178343247564
1810,BMC57B_raw,1.940836498653634
1810,BMC58A_raw,1.2669919884942122
1810,BMC58B_raw,0.7320182436055611
1810,BMC59A_raw,1.1516209868876532
1810,BMC59B_raw,0.9281429100831224
1810,BMC60A_raw,1.037058927830481
1810,BMC60B_raw,0.8632576935530468
1810,BMC61B_raw,1.06046559693375
1810,BMC62B_raw,1.2375228004953673
1811,BMC42A_raw,1.4356008843750605
1811,BMC42B_raw,0.7556748833186425
1811,BMC43A_raw,1.2427873681707082
1811,BMC47A_raw,1.0191418420371383
1811,BMC47B_raw,1.0188297287353227
1811,BMC48B_raw,0.8234096151017549
1811,BMC49A_raw,0.9455162014369578
1811,BMC51A_raw,0.8982364893883428
1811,BMC52A_raw,1.2570041827970282
1811,BMC53A_raw,1.1201647239472958
1811,BMC54A_raw,1.1657030477189219
1811,BMC54B_raw,1.0197372356377246
1811,BMC57A_raw,0.9800349738127295
1811,BMC57B_raw,1.8045171992873517
1811,BMC58A_raw,1.232075306349266
1811,BMC58B_raw,0.9342874630667879
1811,BMC59A_raw,1.5734338031947868
1811,BMC59B_raw,1.2722551546220673
1811,BMC60A_raw,1.0478324075428742
1811,BMC60B_raw,0.7618461945835813
1811,BMC61B_raw,1.3531061345661513
1811,BMC62B_raw,1.1993435398285275
1812,BMC42A_raw,1.0365566483786364
1812,BMC42B_raw,0.7712983984195725
1812,BMC43A_raw,0.6809326451160387
1812,BMC47A_raw,0.7027114806139556
1812,BMC47B_raw,0.8041158198032258
1812,BMC48B_raw,0.8991935434248678
1812,BMC49A_raw,0.6929209411322905
1812,BMC51A_raw,0.7108954434418558
1812,BMC52A_raw,0.9457730402329356
1812,BMC53A_raw,0.5535320879820385
1812,BMC54A_raw,0.7852925938756612
1812,BMC54B_raw,0.8961414485062676
1812,BMC57A_raw,0.7863995000787389
1812,BMC57B_raw,1.3296143637493087
1812,BMC58A_raw,0.9215809868112813
1812,BMC58B_raw,0.7916595997348864
1812,BMC59A_raw,0.746203124248053
1812,BMC59B_raw,0.7441624298344202
1812,BMC60A_raw,0.6218523340597365
1812,BMC60B_raw,0.6598023575507325
1812,BMC61B_raw,1.1980764942206157
1812,BMC62B_raw,0.9030769291046947
1813,BMC42A_raw,1.0140065905248115
1813,BMC42B_raw,0.6427139504896044
1813,BMC43A_raw,0.25079714350307675
1813,BMC47A_raw,0.2520375850007182
1813,BMC47B_raw,0.20395200852425985
1813,BMC48B_raw,0.7217771833088034
1813,BMC49A_raw,1.0826767805939705
1813,BMC51A_raw,0.9001331763491917
1813,BMC52A_raw,1.5359223297434539
1813,BMC53A_raw,0.5707195908647869
1813,BMC54A_raw,1.083933213997349
1813,BMC54B_raw,1.0882494615064457
1813,BMC57A_raw,1.2958649271292437
1813,BMC57B_raw,1.4204276356705925
1813,BMC58A_raw,0.6080432965620498
1813,BMC58B_raw,0.6774466742912353
1813,BMC59A_raw,0.8922399005712243
1813,BMC59B_raw,0.9312265033815635
1813,BMC60A_raw,1.0029970189431259
1813,BMC60B_raw,0.8705373445015772
1813,BMC61B_raw,0.4288540059020803
1813,BMC62B_raw,0.8259633554880634
1814,BMC42A_raw,1.3690766460298125
1814,BMC42B_raw,0.935125209533306
1814,BMC43A_raw,0.6327924693926379
1814,BMC47A_raw,0.9411507150180607
1814,BMC47B_raw,1.008869254122184
1814,BMC48B_raw,0.9709263757691479
1814,BMC49A_raw,0.5587941596075584
1814,BMC51A_raw,0.8804435727826657
1814,BMC52A_raw,1.3136936279856612
1814,BMC53A_raw,0.9852619202141829
1814,BMC54A_raw,1.1067152083442189
1814,BMC54B_raw,1.0149113278163717
1814,BMC57A_raw,1.5117374789027855
1814,BMC57B_raw,1.3473749794221204
1814,BMC58A_raw,0.9301180231924943
1814,BMC58B_raw,1.0825114313336932
1814,BMC59A_raw,1.265408497922736
1814,BMC59B_raw,1.0326409890071353
1814,BMC60A_raw,1.3952868915212895
1814,BMC60B_raw,1.059073812664388
1814,BMC61B_raw,1.1411285296426041
1814,BMC62B_raw,0.8778746218902561
1815,BMC42A_raw,1.2522717674706831
1815,BMC42B_raw,1.0238469354965656
1815,BMC43A_raw,1.2891381076817157
1815,BMC47A_raw,1.0052414684200057
1815,BMC47B_raw,1.134040498190694
1815,BMC48B_raw,1.105269710062214
1815,BMC49A_raw,1.0000206407228656
1815,BMC51A_raw,1.0288688912335535
1815,BMC52A_raw,1.2983552345081681
1815,BMC53A_raw,1.0672561041225657
1815,BMC54A_raw,1.246768419238002
1815,BMC54B_raw,1.068369063083253
1815,BMC57A_raw,1.4171514082497205
1815,BMC57B_raw,1.1311661148770695
1815,BMC58A_raw,0.864557585336896
1815,BMC58B_raw,0.9105377409469017
1815,BMC59A_raw,1.151885688829859
1815,BMC59B_raw,0.9045436981059854
1815,BMC60A_raw,1.444108099744362
1815,BMC60B_raw,1.1318449092378486
1815,BMC61B_raw,1.590897875404822
1815,BMC62B_raw,1.0460216207927915
1816,BMC42A_raw,1.1943526270237195
1816,BMC42B_raw,0.948839404283782
1816,BMC43A_raw,1.002428297267023
1816,BMC47A_raw,0.9674526310410915
1816,BMC47B_raw,1.066435266131045
1816,BMC48B_raw,0.8465504688122816
1816,BMC49A_raw,0.9500881298434956
1816,BMC51A_raw,1.0412953820151885
1816,BMC52A_raw,1.4306300437352577
1816,BMC53A_raw,1.133652742993811
1816,BMC54A_raw,1.1310973812322347
1816,BMC54B_raw,0.8670619870749516
1816,BMC57A_raw,1.4214835843173086
1816,BMC57B_raw,0.7927310700590625
