site,lat,long,year,month,tmax
BM,36.06,-118.39,1994,4,8.70300006866455
BM,36.06,-118.39,1994,5,11.1479997634888
BM,36.06,-118.39,1994,6,18.9599990844727
BM,36.06,-118.39,1994,7,21.4449996948242
BM,36.06,-118.39,1994,8,22.5100002288818
BM,36.06,-118.39,1994,9,17.7600002288818
BM,36.06,-118.39,1994,10,11.4469995498657
BM,36.06,-118.39,1994,11,3.01399993896484
BM,36.06,-118.39,1994,12,3.78399991989136
BM,36.06,-118.39,1995,1,1.34800004959106
BM,36.06,-118.39,1995,2,8.94200038909912
BM,36.06,-118.39,1995,3,4.02099990844727
BM,36.06,-118.39,1995,4,7.22100019454956
BM,36.06,-118.39,1995,5,8.44400024414062
BM,36.06,-118.39,1995,6,14.9250001907349
BM,36.06,-118.39,1995,7,19.5440006256104
BM,36.06,-118.39,1995,8,22.3649997711182
BM,36.06,-118.39,1995,9,20.0189990997314
BM,36.06,-118.39,1995,10,15.8739995956421
BM,36.06,-118.39,1995,11,12.6400003433228
BM,36.06,-118.39,1995,12,5.56599998474121
BM,36.06,-118.39,1996,1,6.6560001373291
BM,36.06,-118.39,1996,2,4.58300018310547
BM,36.06,-118.39,1996,3,6.45699977874756
BM,36.06,-118.39,1996,4,10.4090003967285
BM,36.06,-118.39,1996,5,13.0629997253418
BM,36.06,-118.39,1996,6,18.0769996643066
BM,36.06,-118.39,1996,7,22.0610008239746
BM,36.06,-118.39,1996,8,22.5510005950928
BM,36.06,-118.39,1996,9,17.8439998626709
BM,36.06,-118.39,1996,10,11.8290004730225
BM,36.06,-118.39,1996,11,7.97499990463257
BM,36.06,-118.39,1996,12,5.2979998588562
BM,36.06,-118.39,1997,1,3.70900011062622
BM,36.06,-118.39,1997,2,4.57800006866455
BM,36.06,-118.39,1997,3,9.69499969482422
BM,36.06,-118.39,1997,4,9.20899963378906
BM,36.06,-118.39,1997,5,15.2919998168945
BM,36.06,-118.39,1997,6,16.5349998474121
BM,36.06,-118.39,1997,7,20.0179996490479
BM,36.06,-118.39,1997,8,21.6299991607666
