site,lat,long,year,month,td_mean
BM,36.06,-118.39,1907,1,-11.7489995956421
BM,36.06,-118.39,1907,2,-6.20599985122681
BM,36.06,-118.39,1907,3,-8.78999996185303
BM,36.06,-118.39,1907,4,-6.6729998588562
BM,36.06,-118.39,1907,5,-4.99900007247925
BM,36.06,-118.39,1907,6,-1.27600002288818
BM,36.06,-118.39,1907,7,2.25200009346008
BM,36.06,-118.39,1907,8,1.33899998664856
BM,36.06,-118.39,1907,9,-2.43300008773804
BM,36.06,-118.39,1907,10,-3.84999990463257
BM,36.06,-118.39,1907,11,-9.37399959564209
BM,36.06,-118.39,1907,12,-10.2189998626709
BM,36.06,-118.39,1908,1,-10.9180002212524
BM,36.06,-118.39,1908,2,-10.5539999008179
BM,36.06,-118.39,1908,3,-11.4899997711182
BM,36.06,-118.39,1908,4,-8.86999988555908
BM,36.06,-118.39,1908,5,-6.53599977493286
BM,36.06,-118.39,1908,6,-2.77999997138977
BM,36.06,-118.39,1908,7,2.31599998474121
BM,36.06,-118.39,1908,8,1.35899996757507
BM,36.06,-118.39,1908,9,-1.817999958992
BM,36.06,-118.39,1908,10,-7.44000005722046
BM,36.06,-118.39,1908,11,-9.34899997711182
BM,36.06,-118.39,1908,12,-12.6160001754761
BM,36.06,-118.39,1909,1,-8.54599952697754
BM,36.06,-118.39,1909,2,-8.95100021362305
BM,36.06,-118.39,1909,3,-10.6590003967285
BM,36.06,-118.39,1909,4,-9.14000034332275
BM,36.06,-118.39,1909,5,-6.38700008392334
BM,36.06,-118.39,1909,6,-1.76600003242493
BM,36.06,-118.39,1909,7,1.47599995136261
BM,36.06,-118.39,1909,8,0.837000012397766
BM,36.06,-118.39,1909,9,-1.91799998283386
BM,36.06,-118.39,1909,10,-5.78999996185303
BM,36.06,-118.39,1909,11,-8.12600040435791
BM,36.06,-118.39,1909,12,-11.7690000534058
BM,36.06,-118.39,1911,1,-11.039999961853
BM,36.06,-118.39,1911,2,-11.4670000076294
BM,36.06,-118.39,1911,3,-7.88700008392334
BM,36.06,-118.39,1911,4,-9.0290002822876
BM,36.06,-118.39,1911,5,-6.09000015258789
BM,36.06,-118.39,1911,6,-1.75499999523163
BM,36.06,-118.39,1911,7,2.19700002670288
BM,36.06,-118.39,1911,8,-0.046000000089407
BM,36.06,-118.39,1911,9,-3.13199996948242
BM,36.06,-118.39,1911,10,-6.90500020980835
BM,36.06,-118.39,1911,11,-10.8559999465942
BM,36.06,-118.39,1911,12,-13.3540000915527
BM,36.06,-118.39,1912,1,-11.1990003585815
BM,36.06,-118.39,1912,2,-10.3690004348755
BM,36.06,-118.39,1912,3,-10.1479997634888
BM,36.06,-118.39,1912,4,-9.30700016021729
BM,36.06,-118.39,1912,5,-4.97800016403198
BM,36.06,-118.39,1912,6,-0.621999979019165
BM,36.06,-118.39,1912,7,1.92900002002716
BM,36.06,-118.39,1912,8,0.720000028610229
BM,36.06,-118.39,1912,9,-2.27800011634827
BM,36.06,-118.39,1912,10,-7.23000001907349
BM,36.06,-118.39,1912,11,-9.56099987030029
BM,36.06,-118.39,1912,12,-13.4790000915527
BM,36.06,-118.39,1913,1,-14.4049997329712
BM,36.06,-118.39,1913,2,-10.8760004043579
BM,36.06,-118.39,1913,3,-12.1099996566772
BM,36.06,-118.39,1913,4,-9.46399974822998
BM,36.06,-118.39,1913,5,-5.03599977493286
BM,36.06,-118.39,1913,6,-1.01400005817413
BM,36.06,-118.39,1913,7,2.91499996185303
BM,36.06,-118.39,1913,8,2.53099989891052
BM,36.06,-118.39,1913,9,-1.17299997806549
BM,36.06,-118.39,1913,10,-6.50299978256226
BM,36.06,-118.39,1913,11,-6.01900005340576
BM,36.06,-118.39,1913,12,-11.3540000915527
BM,36.06,-118.39,1914,1,-9.42899990081787
BM,36.06,-118.39,1914,2,-9.67399978637695
BM,36.06,-118.39,1914,3,-9.10999965667725
BM,36.06,-118.39,1914,4,-7.1230001449585
BM,36.06,-118.39,1914,5,-4.42399978637695
BM,36.06,-118.39,1914,6,-1.40799999237061
BM,36.06,-118.39,1914,7,2.2279999256134
BM,36.06,-118.39,1914,8,1.17299997806549
