site,lat,long,year,month,tmin
BM,36.06,-118.39,1908,1,-6.64900016784668
BM,36.06,-118.39,1908,2,-9.24899959564209
BM,36.06,-118.39,1908,3,-7.04199981689453
BM,36.06,-118.39,1908,4,-4.12900018692017
BM,36.06,-118.39,1908,5,-4.14200019836426
BM,36.06,-118.39,1908,6,2.95000004768372
BM,36.06,-118.39,1908,7,11.8920001983643
BM,36.06,-118.39,1908,8,10.1859998703003
BM,36.06,-118.39,1908,9,7.81300020217896
BM,36.06,-118.39,1908,10,0.214000001549721
BM,36.06,-118.39,1908,11,-3.22499990463257
BM,36.06,-118.39,1908,12,-7.7020001411438
BM,36.06,-118.39,1909,1,-4.92199993133545
BM,36.06,-118.39,1909,2,-8.21199989318848
BM,36.06,-118.39,1909,3,-6.79199981689453
BM,36.06,-118.39,1909,4,-3.89599990844727
BM,36.06,-118.39,1909,5,-2.86400008201599
BM,36.06,-118.39,1909,6,3.45600008964539
BM,36.06,-118.39,1909,7,8.3100004196167
BM,36.06,-118.39,1909,8,10.1759996414185
BM,36.06,-118.39,1909,9,6.46299982070923
BM,36.06,-118.39,1909,10,-0.524999976158142
BM,36.06,-118.39,1909,11,-1.95500004291534
BM,36.06,-118.39,1909,12,-6.55299997329712
BM,36.06,-118.39,1911,1,-5.94199991226196
BM,36.06,-118.39,1911,2,-9.17599964141846
BM,36.06,-118.39,1911,3,-3.3989999294281
BM,36.06,-118.39,1911,4,-3.74399995803833
BM,36.06,-118.39,1911,5,-1.39699995517731
BM,36.06,-118.39,1911,6,4.70800018310547
BM,36.06,-118.39,1911,7,8.10099983215332
BM,36.06,-118.39,1911,8,7.68200016021729
BM,36.06,-118.39,1911,9,3.38599991798401
BM,36.06,-118.39,1911,10,-0.879999995231628
BM,36.06,-118.39,1911,11,-2.36500000953674
BM,36.06,-118.39,1911,12,-7.09000015258789
BM,36.06,-118.39,1912,1,-4.75799989700317
BM,36.06,-118.39,1912,2,-8.0019998550415
BM,36.06,-118.39,1912,3,-7.17000007629395
BM,36.06,-118.39,1912,4,-5.80900001525879
BM,36.06,-118.39,1912,5,-1.35399997234344
BM,36.06,-118.39,1912,6,4.34600019454956
BM,36.06,-118.39,1912,7,6.18200016021729
BM,36.06,-118.39,1912,8,6.19000005722046
BM,36.06,-118.39,1912,9,4.25400018692017
BM,36.06,-118.39,1912,10,0.474999994039536
BM,36.06,-118.39,1912,11,-0.479000002145767
BM,36.06,-118.39,1912,12,-6.19899988174438
BM,36.06,-118.39,1913,1,-7.66099977493286
BM,36.06,-118.39,1913,2,-6.6269998550415
BM,36.06,-118.39,1913,3,-6.82299995422363
BM,36.06,-118.39,1913,4,-3.77099990844727
BM,36.06,-118.39,1913,5,-0.446999996900558
BM,36.06,-118.39,1913,6,3.3289999961853
BM,36.06,-118.39,1913,7,7.20900011062622
BM,36.06,-118.39,1913,8,8.63399982452393
BM,36.06,-118.39,1913,9,6.34499979019165
BM,36.06,-118.39,1913,10,0.14300000667572
BM,36.06,-118.39,1913,11,-1.85800004005432
BM,36.06,-118.39,1913,12,-5.66800022125244
BM,36.06,-118.39,1914,1,-4.35099983215332
BM,36.06,-118.39,1914,2,-6.88899993896484
BM,36.06,-118.39,1914,3,-4.36299991607666
BM,36.06,-118.39,1914,4,-3.75799989700317
BM,36.06,-118.39,1914,5,-0.180000007152557
BM,36.06,-118.39,1914,6,3.81800007820129
BM,36.06,-118.39,1914,7,7.42999982833862
BM,36.06,-118.39,1914,8,9.30599975585938
BM,36.06,-118.39,1914,9,4.96199989318848
BM,36.06,-118.39,1914,10,2.01799988746643
BM,36.06,-118.39,1914,11,-3.16799998283386
BM,36.06,-118.39,1914,12,-7.09700012207031
BM,36.06,-118.39,1916,1,-13.8159999847412
BM,36.06,-118.39,1916,2,-5.85099983215332
BM,36.06,-118.39,1916,3,-4.48099994659424
BM,36.06,-118.39,1916,4,-3.90199995040894
BM,36.06,-118.39,1916,5,-1.33599996566772
BM,36.06,-118.39,1916,6,2.64499998092651
BM,36.06,-118.39,1916,7,7.28700017929077
BM,36.06,-118.39,1916,8,9.83100032806396
BM,36.06,-118.39,1916,9,6.30900001525879
BM,36.06,-118.39,1916,10,-1.12100005149841
BM,36.06,-118.39,1916,11,-4.95699977874756
BM,36.06,-118.39,1916,12,-7.71999979019165
BM,36.06,-118.39,1917,1,-8.77400016784668
BM,36.06,-118.39,1917,2,-6.86899995803833
BM,36.06,-118.39,1917,3,-9.13300037384033
BM,36.06,-118.39,1917,4,-6.30000019073486
BM,36.06,-118.39,1917,5,-3.45499992370605
BM,36.06,-118.39,1917,6,4.10200023651123
BM,36.06,-118.39,1917,7,8.32100009918213
BM,36.06,-118.39,1917,8,7.49900007247925
BM,36.06,-118.39,1917,9,5.89599990844727
BM,36.06,-118.39,1917,10,2.99499988555908
BM,36.06,-118.39,1917,11,-2.68799996376038
BM,36.06,-118.39,1917,12,-2.56900000572205
BM,36.06,-118.39,1918,1,-8.78299999237061
BM,36.06,-118.39,1918,2,-6.58099985122681
BM,36.06,-118.39,1918,3,-4.65899991989136
BM,36.06,-118.39,1918,4,-3.06800007820129
BM,36.06,-118.39,1918,5,-1.70899999141693
BM,36.06,-118.39,1918,6,8.20899963378906
BM,36.06,-118.39,1918,7,7.70800018310547
BM,36.06,-118.39,1918,8,7.68300008773804
BM,36.06,-118.39,1918,9,5.60599994659424
BM,36.06,-118.39,1918,10,1.87199997901917
BM,36.06,-118.39,1918,11,-2.33100008964539
BM,36.06,-118.39,1918,12,-6.41800022125244
BM,36.06,-118.39,1919,1,-7.56300020217896
BM,36.06,-118.39,1919,2,-10.6370000839233
BM,36.06,-118.39,1919,3,-7.9850001335144
BM,36.06,-118.39,1919,4,-3.78999996185303
BM,36.06,-118.39,1919,5,1
BM,36.06,-118.39,1919,6,6.45100021362305
BM,36.06,-118.39,1919,7,9.625
BM,36.06,-118.39,1919,8,9.2480001449585
BM,36.06,-118.39,1919,9,4.93900012969971
BM,36.06,-118.39,1919,10,-1.51499998569489
BM,36.06,-118.39,1919,11,-5.12099981307983
BM,36.06,-118.39,1919,12,-4.75699996948242
BM,36.06,-118.39,1920,1,-6.85799980163574
BM,36.06,-118.39,1920,2,-6.60799980163574
BM,36.06,-118.39,1920,3,-7.44999980926514
BM,36.06,-118.39,1920,4,-3.9300000667572
BM,36.06,-118.39,1920,5,-1.18400001525879
BM,36.06,-118.39,1920,6,3.73799991607666
BM,36.06,-118.39,1920,7,9.11100006103516
BM,36.06,-118.39,1920,8,9.17800045013428
BM,36.06,-118.39,1920,9,5.53499984741211
BM,36.06,-118.39,1920,10,-0.587999999523163
BM,36.06,-118.39,1920,11,-2.04999995231628
BM,36.06,-118.39,1920,12,-5.23099994659424
BM,36.06,-118.39,1921,1,-9.25800037384033
BM,36.06,-118.39,1921,2,-7.99900007247925
BM,36.06,-118.39,1921,3,-3.40000009536743
BM,36.06,-118.39,1921,4,-4.7979998588562
BM,36.06,-118.39,1921,5,0.32600000500679
BM,36.06,-118.39,1921,6,7.06799983978271
BM,36.06,-118.39,1921,7,8.5939998626709
BM,36.06,-118.39,1921,8,10.4589996337891
BM,36.06,-118.39,1921,9,3.12800002098083
BM,36.06,-118.39,1921,10,4.71700000762939
BM,36.06,-118.39,1921,11,-1.99899995326996
BM,36.06,-118.39,1921,12,-4.04500007629395
BM,36.06,-118.39,1923,1,-7.71600008010864
BM,36.06,-118.39,1923,2,-9.91499996185303
BM,36.06,-118.39,1923,3,-6.97100019454956
BM,36.06,-118.39,1923,4,-5.43300008773804
BM,36.06,-118.39,1923,5,0.700999975204468
BM,36.06,-118.39,1923,6,2.9539999961853
BM,36.06,-118.39,1923,7,6.00099992752075
BM,36.06,-118.39,1923,8,11.3669996261597
BM,36.06,-118.39,1923,9,6.80299997329712
BM,36.06,-118.39,1923,10,-1.91199994087219
BM,36.06,-118.39,1923,11,-3.54800009727478
BM,36.06,-118.39,1923,12,-7.21700000762939
BM,36.06,-118.39,1924,1,-8.20899963378906
BM,36.06,-118.39,1924,2,-5.56899976730347
BM,36.06,-118.39,1924,3,-8.83500003814697
BM,36.06,-118.39,1924,4,-4.91200017929077
BM,36.06,-118.39,1924,5,1.52799999713898
BM,36.06,-118.39,1924,6,4.86999988555908
BM,36.06,-118.39,1924,7,7.59700012207031
BM,36.06,-118.39,1924,8,7.70599985122681
BM,36.06,-118.39,1924,9,5.76599979400635
BM,36.06,-118.39,1924,10,-1.91999995708466
BM,36.06,-118.39,1924,11,-3.00200009346008
BM,36.06,-118.39,1924,12,-7.05100011825562
BM,36.06,-118.39,1925,1,-7.7039999961853
BM,36.06,-118.39,1925,2,-6.84700012207031
BM,36.06,-118.39,1925,3,-6.53700017929077
BM,36.06,-118.39,1925,4,-5.11700010299683
BM,36.06,-118.39,1925,5,-0.908999979496002
BM,36.06,-118.39,1925,6,3.45799994468689
