wateryear,wy_ppt,wy_tmin,wy_tmax,wy_tmean,wy_td_mean,wy_vpdmin,wy_vpdmax
1895,628.8120138645174,0.7807777457767069,12.001777834362457,6.391000297334459,-4.966111156675553,2.6958888636695,10.411888917287193
1896,943.5319976806649,-0.025333295265833795,10.735999981562289,5.354916897912813,-5.4797499378522225,2.4017500132322316,9.116166671117146
1897,732.6939950427038,0.4399999082088434,10.72733327746391,5.583250254392626,-5.412583296497662,2.760416676600775,9.52616671721141
1898,398.32600367069256,0.47783325985074165,10.963916659355164,5.720666915178294,-5.9412500460942494,2.75033336877823,9.901999950408928
1899,640.231017112732,-0.5609999696413692,11.532249927520756,5.485333656271297,-5.837250004212061,2.3033333222071333,10.351333300272627
1900,700.3240001201629,0.4564999813834818,11.35300008455913,5.904416866910956,-5.093583459655442,2.388833314180375,9.906666596730542
1901,894.3190116882325,-0.03916672865549716,11.156083226203917,5.558000327398378,-5.318583259979882,2.423000027736028,9.949250002702081
1902,674.3689916133883,-0.7423333823680878,12.131749987602234,5.694333675007022,-5.792499939600627,2.1588333298762636,11.094250003496795
1903,790.5129922330384,-2.1504166076580646,10.970833423237,4.4100835348169,-6.4083333760500025,2.0835000127553935,10.564333399136865
1904,1096.4159994125368,-0.3701666196187336,12.599999984105422,6.1147502164046,-5.658750001341108,2.3412499825159716,11.19666667779286
1905,777.4709825515752,-0.44358334938685,12.424250284830721,5.989833608269684,-5.39408335089683,2.072499990463258,10.780249953269953
1906,1310.027980804443,-1.573666612307231,12.125166495641075,5.275250234951572,-5.757250001033143,1.8125833272933976,10.807166496912643
1907,1109.641977310179,-1.260166654984156,11.114999880393345,4.927166861792411,-5.2691666285196925,1.8586666584014908,9.862583458423613
1908,628.6540107727053,-0.4845833082993782,12.389916718006134,5.952416817191987,-6.061166574557625,2.7089166293541598,11.754083236058557
1909,1135.2190184593203,-0.7494999753932126,11.038666546344743,5.144500308359666,-6.204916735490165,2.500666712721189,10.12866667906444
1910,839.9149980545044,0.3742500046888989,10.638833517829568,5.506416847308478,-6.110666648795206,2.7743333280086517,10.051749865214035
1911,1016.1859948635094,-0.5241666038831068,10.183416798710823,4.829500188430152,-5.988833417184649,2.3562500178813925,9.268416702747349
1912,494.62899956852135,-1.371333281199136,9.756166627009716,4.192250146841007,-6.447250097990031,2.0197500089804326,8.933666666348774
1913,586.0740022659302,-0.5012499714891109,9.971499979495999,4.735000232855479,-6.575166622797641,2.3777500192324315,9.254166642824817
1914,1025.5409879684453,-0.11733335753281803,11.676750083764396,5.779333497087164,-5.357666601737338,2.2527499794960026,10.386083205540972
1915,849.4910000562662,-0.6900833547115317,10.388500034809118,4.848916828632357,-5.833916679024697,2.1808333595593767,9.63874999682109
1916,1003.6689863204958,-0.6235832770665484,10.71041687329609,5.043167007776595,-6.305333356062566,2.588083336750667,9.845583299795788
1917,687.8670003116124,-1.8759166598319992,9.80266668026646,3.9634168297052312,-7.300916671752931,2.098333338896435,9.654416600863135
1918,636.5179850533611,0.17866666118303826,12.01900007327397,6.098583574096361,-6.031749942650391,2.6037500401337925,10.746666510899864
1919,629.9660062789924,-0.4657500187555909,10.450083444515865,4.991916865110391,-6.455333297451338,2.6641666342814765,9.963666578133891
1920,685.8169867992394,-0.8217499156792951,11.112833420435582,5.145250216126446,-6.876750012238822,2.4927499790986385,10.092083295186365
1921,714.3260016441351,-0.31241674472888026,10.174083292484285,4.930583606163659,-5.9966666350762114,2.5355833371480294,9.534916679064434
1922,874.0250096321117,-0.6556665996710436,10.243583224713797,4.794083629424376,-6.33441668748856,2.501250013709068,9.712333202362057
1923,707.8220007419582,-0.736500071982541,9.461333394050605,4.362250256041692,-6.275083268682168,2.4285833090543743,8.454666614532474
1924,303.35599803924543,-1.0612500011920918,11.291999995708467,5.115166917443272,-6.492583230137829,2.2718333403269435,10.39158328374227
1925,837.0340042114251,-1.5105833957592651,10.0735832452774,4.281333625316617,-5.810833265384033,1.8004999607801428,8.93025004863739
1926,562.4590005874634,0.5655833681424466,12.10616652170817,6.335500250260028,-5.540999919176108,2.691833347082139,10.975499987602232
1927,801.6200063019054,-1.4444166670242957,10.218916803598407,4.387166962027547,-5.631416708230972,1.8604166656732564,9.420000096162166
1928,588.2779979705812,-0.960750063260397,12.675416668256137,5.857000236709912,-5.653000007073089,2.119000002741815,11.53108346462251
1929,578.3900033682588,-2.234250038862232,11.382916847864788,4.57433356841405,-6.591083457072568,1.8991666634877526,10.544750054677325
1930,553.7039880752563,-1.1056666970252982,12.155250231424958,5.5245001961787485,-5.774833410978314,2.02558334171772,10.814333399136856
1931,492.37999784946453,-0.4946667005618451,12.547166685263315,6.025833636522293,-5.638083281616367,2.248250017563501,11.539916634559635
1932,922.1700169220562,-2.0862500717242516,11.1629999478658,4.538083612918854,-6.308333372076358,2.0310833007097244,10.162583390871687
1933,589.9970106966794,-1.656166616827255,11.057166536649069,4.700416935607792,-6.847416569789248,2.410833314061165,10.343249956766769
1934,458.73599767684954,0.6770833233992251,13.704666813214619,7.190416971842441,-5.136416723330817,2.5769999474287038,12.095500111579893
1935,908.6789954751729,-1.1283333400885254,11.940916657447808,5.405916931728525,-5.465166668097177,2.000749975442885,10.806000113487247
1936,853.0069971084595,-0.9202500358223908,12.684833367665616,5.881916947662829,-5.629666710893319,2.000333284338315,11.395500103632614
1937,1001.1390091106299,-1.4827499290307389,11.967999994754788,5.242500155853724,-6.376749912897739,2.1915000031391783,11.326166550318401
1938,1274.008001327516,-0.8823334127664564,12.107499937216444,5.612083601454896,-5.324333349863687,2.0982499718666077,10.907500068346662
1939,587.8210053443922,-0.8457500735918685,12.4169999162356,5.785167013605443,-5.932499955097835,2.2850833435853324,11.223583380381271
1940,943.4270100593574,0.002499957879385321,13.115916689236965,6.559000370092691,-5.01991664866606,2.4080833320816377,11.749916752179468
1941,1047.7519880672917,-0.9081666419903451,11.039583404858911,5.065500242635609,-4.763999953866006,2.022249961892765,9.293833335240683
1942,866.7580165863034,-2.1372500260670972,10.871249914169312,4.366833500564104,-5.475833247105282,1.7955833598971367,9.84975000222524
1943,1047.2340006828315,-0.9707500388224908,12.260083317756648,5.644333632042009,-4.817500015099843,1.766166657209397,10.428333361943563
1944,630.2079992294317,-2.440666686743495,11.020249942938483,4.289666906620069,-5.584249973297126,1.3719166677910837,10.815916577974956
1945,896.0600156784059,-2.2575832357009236,10.858666658401505,4.3006669115275145,-5.248500024278956,1.7066666657725977,9.184999883174902
1946,707.546998023986,-1.9108332494894715,11.298000057538339,4.693416913350425,-5.360916574796038,1.7484166622161867,9.840083221594496
1947,586.9320037364963,-2.122333347797394,11.42716658115387,4.652250222861762,-5.2614166562755935,1.4570833345254262,10.084000070889797
1948,564.7550008296967,-2.4514165644844366,10.643166760603588,4.095833455522853,-5.849999944369005,1.6657499916230643,9.579749981562303
1949,601.4300036430368,-2.693749982553228,10.409916520118726,3.8578335245450366,-4.87200008332729,1.3909999752261997,9.540999988714853
1950,672.2070086002346,-1.4019999761755304,11.752666791280106,5.175250273197888,-4.937249985833964,1.6420833369096113,10.680166602134708
1951,825.2059960979973,-0.6125833590825406,12.50991672277451,5.948333704223237,-4.385166747185093,1.6921666630466161,11.161250034968063
1952,1146.3299927711491,-2.539083321889243,10.573916703850664,4.017250249783196,-4.392749945322668,1.052416658319999,9.491333226362864
1953,717.7080023288723,-1.3913333614667267,11.419833362102514,5.014166935036587,-5.262333263953529,1.718333338697752,10.311583320299777
1954,676.9100043773649,-0.7400000244379045,12.37516669432323,5.817250271638238,-5.5028332273165415,1.9113333324591324,10.955916682879126
1955,564.1999907493589,-1.9110833605130495,11.248833278814947,4.668750263750554,-5.308166655401394,1.423666674643755,9.985083421071383
1956,1095.1069805622103,-1.130333331724009,11.224583288033797,5.04683354993661,-4.620333289106684,1.5755833110888486,9.71950002511343
1957,626.9990034103389,-1.4540832539399493,11.038083434104916,4.791916862751051,-4.251333326101305,1.2719166686971828,9.311083316802977
1958,1214.6619992256158,-1.7865833590428037,10.657666534185411,4.435250177979469,-3.624083312228322,1.0266666766256107,8.965833326180777
1959,368.80200070142797,-0.47366665800412916,12.470333278179162,5.997916926940279,-4.496083348989487,1.7129166473944981,10.842749853928874
1960,548.3610048601408,-0.6488334039847065,12.314250184843942,5.832500269015627,-5.101666678984959,1.9707500127454614,11.187583148479458
1961,460.82600322738324,-0.8398332347472504,11.56666664282481,5.363250243167088,-4.706416626771298,1.5791666594644396,9.981416742006937
1962,820.5040106773371,-1.681250060598052,10.651583462953573,4.485166887442265,-6.068583262463408,1.8626666615406668,9.930249929428093
1963,896.5849933624265,-0.8224999917050205,11.134833236535398,5.155750244855878,-5.417499943325908,1.7611666470766072,9.746916611989342
1964,573.9340081214903,-1.5803333222866067,10.911499937375392,4.6653335690498325,-5.86041666318973,1.6545833200216287,9.76483325163523
1965,946.9620003700262,-1.3264166514078783,10.176750083764395,4.425166904926298,-4.349999994039534,1.379833329779406,8.782583316167202
1966,508.53700873255724,0.005416661500930749,11.789416670799254,5.897166907787322,-5.587249974409747,2.3249166707197815,10.729833364486694
1967,1353.0219917297354,-0.3955833117167192,11.207666714986164,5.406000418898958,-4.097583413124082,1.6552500075971084,9.646750032901762
1968,490.09700202941906,-0.261166624724865,11.753666808207829,5.74616696188847,-4.737583421170714,2.011666672925155,10.342916727066044
1969,1592.1380262970924,-0.7351667682329819,10.948249876499181,5.106416891018548,-4.139416640003519,1.6359166602293662,9.56866665681203
1970,635.4310007095337,-0.31849996993939006,11.699499924977625,5.6901669638852255,-4.846999963124594,1.8957500184575728,10.285249829292296
1971,660.4520150423052,-0.6090834289789198,11.01400003830591,5.202083562811212,-5.35883326331775,2.08574999962002,9.919333299001055
1972,487.6709937751289,-0.6786666139960285,11.183583190043768,5.252083536237475,-5.100750097384052,1.897333338856697,9.873666703701018
