year,winter_ppt,winter_tmin,winter_tmax,winter_tmean,winter_td_mean,winter_vpdmin,winter_vpdmax
1895,571.1360130310061,-4.012200021743774,7.138999891281124,1.5630000591278064,-8.728200054168706,1.75,6.998400020599366
1896,840.7359991073616,-3.663374975323677,7.075874924659734,1.7057501189410686,-8.633874893188473,1.7582500055432324,6.537374973297119
1897,721.6579952239988,-3.3051250427961363,7.193124964833264,1.9436250478029276,-8.373499959707258,1.9008750170469288,7.058999955654154
1898,378.74600410461443,-3.2435000110417587,6.552749931812284,1.6545000523328781,-9.232500076293933,2.071875005960465,6.484249949455255
1899,590.783016204834,-3.940249949693681,7.172625064849858,1.6161250695586202,-8.766499996185301,1.744874984025955,6.621999979019165
1900,671.8120002746582,-2.3525000102818012,7.765500068664557,2.706250053364784,-7.73637521266937,2.0103749781847013,7.0202500820159885
1901,847.2710113525391,-3.066625058650971,7.006624877452851,1.9696251172572363,-7.931249916553496,1.9187500029802322,6.4997500479221335
1902,654.3899917602541,-3.7108750492334366,7.96812492609025,2.128125134855508,-8.662874907255173,1.8121250048279753,7.433250129222867
1903,789.409992218018,-6.242499969899649,6.513625089079149,0.13562500849366288,-9.370500087738048,1.3287499919533727,6.687874972820286
1904,986.2240009307861,-3.9134999811649327,9.059374928474432,2.572875127196312,-8.747375011444097,1.761500000953675,8.430499970912928
1905,774.3059825897221,-3.1543750166893,8.301000118255606,2.572750113904476,-7.882750034332267,1.6842499971389788,7.245875060558317
1906,1211.0599822998045,-5.062499940395355,7.941624999046325,1.4392500501126053,-8.806375026702876,1.39087499678135,7.268749952316289
1907,1068.2349777221664,-4.090499922633171,7.529624983668331,1.719500068575146,-7.888999938964841,1.5478749871253987,7.086500138044357
1908,587.5140113830569,-4.832000002264977,7.971749991178514,1.5697500703390688,-8.97637486457825,1.5083749964833268,7.534749984741211
1909,1116.6590180397036,-4.674874959513546,7.3009999692440015,1.313125093467534,-9.136000096797945,1.6252500042319311,7.208749949932096
1910,795.6579971313478,-3.2282499819993964,6.6645001098513506,1.7181250602006926,-8.864624977111815,1.9038750082254412,7.057749986648564
1911,981.8769950866692,-3.7708749175071716,6.459750108420848,1.344500049948692,-8.6412501335144,1.7424999922513948,6.434874981641771
1912,485.3099999427789,-4.678499996662138,5.92024995386601,0.6207500314339991,-9.63950014114379,1.6362500041723251,6.232374966144561
1913,444.7720003128053,-3.941499922424554,6.171999901533124,1.1153750717639925,-10.270124912261952,2.0349999964237213,6.744124948978425
1914,996.5209884643558,-3.3654999807476984,7.894875138998032,2.2645001187920584,-7.9544999003410295,1.65924996137619,7.3118749856948835
1915,845.5450000762934,-3.9395000487565985,6.3315000236034384,1.1958750188350673,-8.51575005054474,1.685624986886978,6.425250053405761
1916,959.7119865417482,-4.194374978542326,7.274875164031973,1.5401250910945234,-9.164750039577477,1.9073750227689743,7.374374896287919
1917,649.1760005950921,-6.0411250293254835,4.747624898329377,-0.6466250196099284,-10.973625004291536,1.5136250257492088,5.61599999666214
1918,553.245984740556,-3.382749989628794,8.477375060319892,2.5471251532435413,-9.321249902248374,2.0595000237226473,8.07237493991852
1919,589.3150062561043,-4.481500089168544,6.179999992251398,0.8490000516176237,-9.47599995136261,1.7682499960064897,6.695499986410137
1920,639.3909878730767,-4.677874907851219,7.761624932289123,1.5416251048445704,-10.21837502717972,1.7779999822378163,7.597749948501585
