site,lat,long,year,month,vpdmin
BM,36.06,-118.39,1909,4,1.73099994659424
BM,36.06,-118.39,1909,5,1.29700005054474
BM,36.06,-118.39,1909,6,2.40100002288818
BM,36.06,-118.39,1909,7,4.24700021743774
BM,36.06,-118.39,1909,8,5.75600004196167
BM,36.06,-118.39,1909,9,4.60200023651123
BM,36.06,-118.39,1909,10,2.19400000572205
BM,36.06,-118.39,1909,11,2.15400004386902
BM,36.06,-118.39,1909,12,1.44200003147125
BM,36.06,-118.39,1910,1,1.48399996757507
BM,36.06,-118.39,1910,2,1.27499997615814
BM,36.06,-118.39,1910,3,2.14100003242493
BM,36.06,-118.39,1910,4,2.63800001144409
BM,36.06,-118.39,1910,5,1.90299999713898
BM,36.06,-118.39,1910,6,3.54999995231628
BM,36.06,-118.39,1910,7,3.95199990272522
BM,36.06,-118.39,1910,8,5.47100019454956
BM,36.06,-118.39,1910,9,5.08799982070923
BM,36.06,-118.39,1910,10,2.69799995422363
BM,36.06,-118.39,1910,11,1.62699997425079
BM,36.06,-118.39,1910,12,1.90900003910065
BM,36.06,-118.39,1911,1,1.38800001144409
BM,36.06,-118.39,1911,2,0.927999973297119
BM,36.06,-118.39,1911,3,1.78199994564056
BM,36.06,-118.39,1911,4,1.83800005912781
BM,36.06,-118.39,1911,5,1.76999998092651
BM,36.06,-118.39,1911,6,3.33899998664856
BM,36.06,-118.39,1911,7,3.52500009536743
BM,36.06,-118.39,1911,8,4.33900022506714
BM,36.06,-118.39,1911,9,3.13199996948242
BM,36.06,-118.39,1911,10,2.34999990463257
BM,36.06,-118.39,1911,11,2.51200008392334
BM,36.06,-118.39,1911,12,1.50300002098083
BM,36.06,-118.39,1912,1,1.82000005245209
BM,36.06,-118.39,1912,2,1.05599999427795
BM,36.06,-118.39,1912,3,1.14699995517731
BM,36.06,-118.39,1912,4,1.28900003433228
BM,36.06,-118.39,1912,5,1.41299998760223
BM,36.06,-118.39,1912,6,2.65599989891052
BM,36.06,-118.39,1912,7,2.12700009346008
BM,36.06,-118.39,1912,8,3.22399997711182
BM,36.06,-118.39,1912,9,3.14000010490417
BM,36.06,-118.39,1912,10,3.13499999046326
BM,36.06,-118.39,1912,11,3.01300001144409
BM,36.06,-118.39,1912,12,1.75499999523163
BM,36.06,-118.39,1913,1,1.59899997711182
BM,36.06,-118.39,1913,2,1.41499996185303
BM,36.06,-118.39,1913,3,1.60399997234344
BM,36.06,-118.39,1913,4,1.87600004673004
BM,36.06,-118.39,1913,5,1.88300001621246
BM,36.06,-118.39,1913,6,2.20300006866455
BM,36.06,-118.39,1913,7,2.44199991226196
BM,36.06,-118.39,1913,8,3.55800008773804
BM,36.06,-118.39,1913,9,4.05000019073486
BM,36.06,-118.39,1913,10,2.67899990081787
BM,36.06,-118.39,1913,11,1.84599995613098
BM,36.06,-118.39,1913,12,1.40499997138977
BM,36.06,-118.39,1914,1,1.60199999809265
BM,36.06,-118.39,1914,2,1.14199995994568
BM,36.06,-118.39,1914,3,1.66799998283386
BM,36.06,-118.39,1914,4,1.30799996852875
BM,36.06,-118.39,1914,5,1.62399995326996
BM,36.06,-118.39,1914,6,2.41599988937378
BM,36.06,-118.39,1914,7,2.83800005912781
BM,36.06,-118.39,1914,8,4.78000020980835
BM,36.06,-118.39,1914,9,3.72499990463257
BM,36.06,-118.39,1914,10,3.2739999294281
BM,36.06,-118.39,1914,11,2.22699999809265
BM,36.06,-118.39,1914,12,1.35699999332428
BM,36.06,-118.39,1915,1,1.50100004673004
BM,36.06,-118.39,1915,2,0.883000016212463
BM,36.06,-118.39,1915,3,1.6599999666214
BM,36.06,-118.39,1915,4,1.30499994754791
BM,36.06,-118.39,1915,5,1.27799999713898
BM,36.06,-118.39,1915,6,2.86700010299683
BM,36.06,-118.39,1915,7,2.0090000629425
BM,36.06,-118.39,1915,8,4.39900016784668
BM,36.06,-118.39,1915,9,3.41000008583069
BM,36.06,-118.39,1915,10,4.59000015258789
BM,36.06,-118.39,1915,11,2.08599996566772
BM,36.06,-118.39,1915,12,1.94400000572205
BM,36.06,-118.39,1916,1,0.287999987602234
BM,36.06,-118.39,1916,2,1.05499994754791
BM,36.06,-118.39,1916,3,1.71300005912781
BM,36.06,-118.39,1916,4,1.62000000476837
BM,36.06,-118.39,1916,5,1.96300005912781
BM,36.06,-118.39,1916,6,2.33100008964539
BM,36.06,-118.39,1916,7,2.99699997901917
BM,36.06,-118.39,1916,8,5.73299980163574
BM,36.06,-118.39,1916,9,4.73699998855591
BM,36.06,-118.39,1916,10,2.3510000705719
BM,36.06,-118.39,1916,11,1.85000002384186
BM,36.06,-118.39,1916,12,1.44000005722046
BM,36.06,-118.39,1917,1,1.37300002574921
BM,36.06,-118.39,1917,2,1.39100003242493
BM,36.06,-118.39,1917,3,1.31700003147125
BM,36.06,-118.39,1917,4,1.24699997901917
BM,36.06,-118.39,1917,5,1.13999998569489
BM,36.06,-118.39,1917,6,2.8289999961853
BM,36.06,-118.39,1917,7,2.97199988365173
BM,36.06,-118.39,1917,8,3.37199997901917
BM,36.06,-118.39,1917,9,3.89800000190735
BM,36.06,-118.39,1917,10,3.87700009346008
BM,36.06,-118.39,1917,11,2.14400005340576
BM,36.06,-118.39,1917,12,2.56800007820129
BM,36.06,-118.39,1918,1,1.12899994850159
BM,36.06,-118.39,1918,2,1.34399998188019
BM,36.06,-118.39,1918,3,1.64400005340576
BM,36.06,-118.39,1918,4,2.05999994277954
BM,36.06,-118.39,1918,5,1.71000003814697
BM,36.06,-118.39,1918,6,4.6100001335144
BM,36.06,-118.39,1918,7,3.0550000667572
BM,36.06,-118.39,1918,8,3.97000002861023
BM,36.06,-118.39,1918,9,3.1340000629425
BM,36.06,-118.39,1918,10,2.81599998474121
BM,36.06,-118.39,1918,11,2.22499990463257
BM,36.06,-118.39,1918,12,1.73599994182587
BM,36.06,-118.39,1919,1,1.62000000476837
BM,36.06,-118.39,1919,2,0.500999987125397
