n,sigma,betas,model,rmse_forecast,rmse_beta,rmse_phi,rmse_sigma,divergent_trans,fr_true_pos,fr_false_pos,phi_true_pos,phi_false_pos,beta_true_pos,beta_false_pos,TPR_threshold,mod_run,prior
730,1,0,arima,5.89928247730906,1.07194986481732,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,0,hs,2.57393293865572,1.20250564227042,0.147752862777626,0.33322722213681,0,0.333333333333333,0.0105820105820106,0.8,0.1,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1010.rds,NA
730,1,0,gauss,4.74161364744845,1.25144338302696,0.306368687659553,0.649829317899398,0,0.333333333333333,0.185185185185185,0.8,0.9,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1010.rds,NA
730,1,0,arima,5.39969163174912,1.18179892411268,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
1095,1,0,hs,3.24768094019665,2.3388227702957902,0.182848264248459,0.189159627807485,2,0.272727272727273,0.0105263157894737,1,0.4,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1011.rds,NA
1095,1,0,gauss,4.17715274898669,521.533797739279,0.19599140255571,0.318156904412493,1222,0.454545454545455,0.226315789473684,1,0.3,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1011.rds,NA
1095,1,0,arima,3.86108656933443,0.461304266843601,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
365,1,2,hs,2.63069825514089,0.763821139719535,0.0715205601433565,0.0441577645447065,0,0.333333333333333,0.0102564102564103,0.6,0,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1012.rds,NA
365,1,2,gauss,4.48993057327896,231.996102685524,0.234767532264342,0.216123807574604,168,0.333333333333333,0.117948717948718,0.4,0.4,0.333333333333333,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1012.rds,NA
365,1,2,arima,2.60430273705768,2.26049408273258,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,2,hs,2.28543029737907,0.872992972241498,0.124178738396848,0.298539669420106,0,0.571428571428571,0.0154639175257732,0.8,0.1,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1013.rds,NA
730,1,2,gauss,3.82073595129581,2781.31097866445,0.197646058176699,0.395892026848337,186,0.428571428571429,0.175257731958763,0.6,0.2,0.333333333333333,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1013.rds,NA
730,1,2,arima,3.69633895522865,2.16253900861356,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
1095,1,2,hs,2.22018038126367,0.90654148784936,0.0466515731222611,0.223060679758489,0,0,0.00515463917525773,0.6,0.1,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1014.rds,NA
1095,1,2,gauss,5.46721407152825,14712.6080652454,0.195665491946867,0.492314419959222,39,0,0.164948453608247,0.8,1,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1014.rds,NA
1095,1,2,arima,5.01507880335957,4.64437448040817,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,4,hs,3.44864830704888,0.955973244549161,0.112104042972965,0.15436309427405,2,0,0,0.8,0,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1016.rds,NA
730,1,4,gauss,3.35122852535714,2064.21163960214,0.175036592484406,0.220418240725593,446,0,0.106598984771574,0.8,0.2,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1016.rds,NA
730,1,4,arima,8.23149331302382,5.89204363066504,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
1095,1,4,hs,2.94068821634802,0.636990396777622,0.102104916210576,0.216598835807385,14,0,0,0.8,0.1,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1017.rds,NA
1095,1,4,gauss,3.48877717394965,686.621271122072,0.102705885651232,0.22462661412656099,342,0,0.171717171717172,1,0.1,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1017.rds,NA
1095,1,4,arima,5.86339381481285,2.93648835477484,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
365,1,0,hs,4.38529446054506,6.49139767057704,0.0862538483986962,0.079809511190619,0,0.6,0.0157068062827225,0.4,0,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1018.rds,NA
365,1,0,gauss,9.33465850716133,20084.0348991234,0.15195856624141801,0.189819636980938,39,0.4,0.178010471204188,0.6,0.4,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1018.rds,NA
365,1,0,arima,13.6236023637845,6.47440800955636,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,0,hs,2.77061925399039,0.684398984955901,0.0824223768169313,0.342086188652545,0,0.5,0.00529100529100529,0.4,0.2,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1019.rds,NA
730,1,0,gauss,8.13626424225804,16822.2582106539,0.128471264905627,0.572253863436325,147,0.5,0.100529100529101,0.8,0.7,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1019.rds,NA
730,1,0,arima,6.20615423047467,0.937313700426,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
