"ArrayTaskID","nameID","trial","RMSE_AIC","RMSE_GLM","RMSE_STAN","RMSE_modelAvg","AIC_TPR","AIC_TNR","GLM_TPR","GLM_TNR","modelAvg_TPR","modelAvg_TNR","STAN_beta_TPR","STAN_beta_TNR","STAN_beta_FPR","STAN_beta_FNR","AIC_coverage","GLM_coverage","Stan_coverage_escape","Stan_coverage_noescape","MAvg_coverage_escape","MAvg_coverage_noescape","numTrials","n","K","num_strong","prob_cycle","trend_fraction","freq","sigma","probWeakCorr","numStrongCorr","strongSelf","corrLevel","corrChange","propChange","changeSize","changeTimeVar"
1,"AICSTANredo1",1,0.903795459364831,1.30091631939068,0.918194701434517,0.86336226870735,1,0.644444444444444,0.8,1,1,0.688888888888889,1,1,0,0,0.5,1,1,0.888888888888889,0.538461538461538,0.189189189189189,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",2,0.98451373673156,1.96754558936179,1.03174971470715,0.973619937299965,1,0.422222222222222,1,0.977777777777778,1,0.466666666666667,1,1,0,0,0.6,0.96,1,0.977777777777778,0.470588235294118,0.333333333333333,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",3,0.998924850888731,1.96352684411878,0.971231155855888,0.982187040567333,1,0.688888888888889,0.8,1,1,0.711111111111111,1,0.977777777777778,0.0222222222222222,0,0.666666666666667,1,1,0.978260869565217,0.692307692307692,0.108108108108108,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",4,0.993030380960795,0.966510697040909,0.960226411667802,0.984106705293464,1,0.355555555555556,1,0.933333333333333,1,0.377777777777778,1,0.955555555555556,0.0444444444444444,0,0.393939393939394,0.92,0.6,0.955555555555556,0.291666666666667,0.307692307692308,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",5,0.944731429115651,1.85839489021118,0.930391475986446,0.887826235815941,1,0.644444444444444,0.6,0.933333333333333,1,0.688888888888889,1,1,0,0,0.7,0.96,1,0.978260869565217,0.615384615384615,0.189189189189189,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",6,0.974250417694878,1.18110082407233,0.970521566434564,0.950464607946836,1,0.4,1,0.955555555555556,1,0.444444444444444,1,0.977777777777778,0.0222222222222222,0,0.516129032258065,1,1,0.956521739130435,0.444444444444444,0.28125,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",7,0.883461680311565,0.903618549268544,1.05067176486754,0.858094880462946,1,0.577777777777778,1,1,1,0.622222222222222,1,0.933333333333333,0.0666666666666667,0,0.565217391304348,1,0.8,0.977777777777778,0.375,0.176470588235294,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",8,0.898311927540624,1.11842276260525,0.98867373900536,0.897705200735448,1,0.466666666666667,0.8,0.866666666666667,1,0.488888888888889,1,0.933333333333333,0.0666666666666667,0,0.25,0.82,0.833333333333333,0.977272727272727,0.2,0.08,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",9,1.24870596962521,1.5284465156812,1.01712497687652,1.25493173076873,0.8,0.377777777777778,0.8,0.955555555555556,0.8,0.422222222222222,0.8,0.977777777777778,0.0222222222222222,0.2,0.419354838709677,0.94,1,0.955555555555556,0.363636363636364,0.178571428571429,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",10,0.769270265886596,2.4357664217563,0.920969736862673,0.766189569710751,1,0.577777777777778,1,0.866666666666667,1,0.622222222222222,1,0.933333333333333,0.0666666666666667,0,0.652173913043478,0.82,1,1,0.529411764705882,0.181818181818182,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",11,0.874708757295825,1.07613793281555,0.917543438573547,0.84358073615341,1,0.466666666666667,0.8,0.955555555555556,1,0.511111111111111,1,1,0,0,0.428571428571429,0.94,1,0.933333333333333,0.3,0.233333333333333,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",12,0.85781935649913,0.881062168290602,1.11369024528316,0.859046846075477,1,0.4,1,0.977777777777778,1,0.444444444444444,1,0.955555555555556,0.0444444444444444,0,0.806451612903226,1,1,1,0.647058823529412,0.363636363636364,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",13,0.98096425409845,1.64806542737151,0.932359123635691,0.950946501251847,1,0.466666666666667,0.8,0.977777777777778,1,0.511111111111111,1,1,0,0,0.642857142857143,0.98,1,1,0.357142857142857,0.361111111111111,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",14,0.777748408259211,0.785636962230231,0.930885619849597,0.798307687901444,1,0.533333333333333,0.8,0.933333333333333,1,0.577777777777778,1,0.933333333333333,0.0666666666666667,0,0.52,0.88,1,0.891304347826087,0.352941176470588,0.181818181818182,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",15,0.716555010868617,0.98260766703538,0.916335862804935,0.702815636568393,1,0.4,0.8,1,1,0.422222222222222,1,1,0,0,0.741935483870968,0.98,1,0.977777777777778,0.619047619047619,0.310344827586207,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",16,0.888399624125809,1.89015886932045,0.911449994554102,0.862855337120072,1,0.533333333333333,0.6,0.955555555555556,1,0.577777777777778,1,0.933333333333333,0.0666666666666667,0,0.52,0.9,1,0.886363636363636,0.4375,0.205882352941176,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",17,0.750540997908211,1.59629600096193,0.899006892236835,0.73365171343404,1,0.6,0.8,1,1,0.644444444444444,1,0.977777777777778,0.0222222222222222,0,0.909090909090909,1,1,0.955555555555556,0.818181818181818,0.282051282051282,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",18,0.9640489627739,0.987079626763786,1.04431876113065,0.952575565310242,1,0.288888888888889,1,0.955555555555556,1,0.311111111111111,1,0.822222222222222,0.177777777777778,0,0.638888888888889,0.96,1,0.956521739130435,0.458333333333333,0.461538461538462,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",19,0.779957668283396,1.30920885493375,0.851612509549965,0.765383444100735,1,0.2,1,0.844444444444444,1,0.244444444444444,1,0.844444444444444,0.155555555555556,0,0.55,0.78,1,0.906976744186046,0.28,0.52,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",20,0.872080138183142,1.43122548482963,1.04141794707389,0.853577104322782,1,0.733333333333333,0.6,1,1,0.777777777777778,1,1,0,0,0.75,1,1,0.977777777777778,0.666666666666667,0.146341463414634,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",21,1.42039314616562,2.43643811480451,0.883497160865637,1.40815613508542,1,0.288888888888889,1,0.533333333333333,1,0.333333333333333,1,0.955555555555556,0.0444444444444444,0,0.333333333333333,0.44,0.833333333333333,0.977272727272727,0.259259259259259,0.173913043478261,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",22,0.578546575608451,1.79652145545619,0.918177233934172,0.591324984251952,1,0.733333333333333,0.8,1,1,0.777777777777778,1,0.977777777777778,0.0222222222222222,0,0.875,1,1,0.933333333333333,1,0.170731707317073,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",23,0.675702629968225,0.964924994393097,0.914486525493206,0.674678538929807,1,0.511111111111111,0.6,1,1,0.577777777777778,1,1,0,0,0.461538461538462,1,1,0.955555555555556,0.411764705882353,0.212121212121212,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",24,0.734343298289264,1.24412953365625,1.01549401872699,0.717091740391239,1,0.377777777777778,0.8,1,1,0.422222222222222,1,0.933333333333333,0.0666666666666667,0,0.9375,1,1,1,0.833333333333333,0.5,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",25,1.55982244290508,1.84862557895799,1.19000990917075,1.513741962762,1,0.288888888888889,0.6,0.933333333333333,1,0.333333333333333,0.8,1,0,0.2,0.527777777777778,0.96,1,0.978260869565217,0.272727272727273,0.464285714285714,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",26,0.751099922347796,1.7498667343525,0.963342947752257,0.750418631659375,1,0.733333333333333,1,1,1,0.777777777777778,1,1,0,0,0.6875,0.98,1,0.977777777777778,0.545454545454545,0.128205128205128,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
1,"AICSTANredo1",27,0.999585983364872,1.01089333861931,0.964853263547711,0.98423007319399,1,0.244444444444444,1,0.888888888888889,1,0.288888888888889,1,0.911111111111111,0.0888888888888889,0,0.552631578947368,0.94,1,1,0.379310344827586,0.428571428571429,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.1,FALSE,0,0,0
