"","ArrayTaskID","numTrials","n","K","num_strong","prob_cycle","trend_fraction","freq","sigma","probWeakCorr","numStrongCorr","strongSelf","corrLevel","nameID","RMSEaic","RMSEstan","TPRaic","TNRaic","TPRstan","TNRstan"
"1",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.956002983983593,0.956585156748735,1,0.622222222222222,0.833333333333333,0.977272727272727
"2",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.836107781360005,1.03806882201089,0.8,0.8,0.571428571428571,0.953488372093023
"3",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",1.16653705749503,0.999071416219586,1,0.466666666666667,0.888888888888889,0.902439024390244
"4",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",1.20952243470315,0.883544382361417,1,0.222222222222222,0.8,0.977777777777778
"5",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.778388812429829,0.918669174871486,1,0.666666666666667,0.666666666666667,0.975609756097561
"6",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.832289941318044,0.837622753687765,1,0.577777777777778,0.666666666666667,0.977272727272727
"7",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.729919848265694,0.96418819364055,1,0.622222222222222,1,1
"8",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.683871653433613,0.90211103554318,1,0.644444444444444,0.833333333333333,0.909090909090909
"9",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.846674507492469,0.97189459254463,1,0.511111111111111,0.833333333333333,0.931818181818182
"10",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",1.03678683581849,0.765840869853743,1,0.333333333333333,0.833333333333333,0.931818181818182
"11",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.678613678928958,0.907350357120539,1,0.533333333333333,0.625,0.976190476190476
"12",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",1.04316637929399,0.932356921704766,1,0.488888888888889,0.875,0.976190476190476
"13",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.655869905295883,0.854741814113326,1,0.577777777777778,0.5,1
"14",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.815460561091408,0.940119370136143,1,0.533333333333333,0.666666666666667,0.909090909090909
"15",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",1.03514157125786,0.912769068011439,1,0.466666666666667,0.454545454545455,0.948717948717949
"16",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.754745419198279,0.90864520830599,1,0.644444444444444,0.833333333333333,0.954545454545455
"17",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",1.12795475178503,1.05124706224255,1,0.622222222222222,0.833333333333333,0.977272727272727
"18",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.757451788643423,0.842900679161561,1,0.622222222222222,0.625,0.976190476190476
"19",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.651478292054783,0.880931510131965,1,0.488888888888889,0.857142857142857,0.953488372093023
"20",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.814600385723503,0.838224425722714,1,0.333333333333333,0.5,0.975
"21",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",1.0312432719518,0.839714041656363,1,0.6,0.666666666666667,0.975609756097561
"22",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.950670070042298,0.930330006651929,1,0.6,0.555555555555556,0.951219512195122
"23",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.793037175664146,0.862475464633937,1,0.555555555555556,0.714285714285714,0.953488372093023
"24",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",1.16276081865956,0.980103299149905,1,0.355555555555556,0.75,0.928571428571429
"25",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.777812110560871,0.805316639574312,1,0.688888888888889,1,0.933333333333333
"26",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.79904984234958,0.902070526227058,1,0.511111111111111,1,0.911111111111111
"27",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",1.22689720329064,1.08582224596944,1,0.355555555555556,0.777777777777778,0.926829268292683
"28",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.960082463154404,0.952152213074615,1,0.333333333333333,1,0.955555555555556
"29",1,50,100,50,5,0.5,0.5,1,0.5,0.2,1,TRUE,0.5,"ACPtrial1",0.745403065648941,1.0395738242819,1,0.644444444444444,0.75,1
