ArrayTaskID numTrials n K num_strong prob_cycle trend_fraction freq sigma probWeakCorr numStrongCorr strongSelf corrLevel corrChange propChange changeSize changeTimeVar nameID
53 50 100 50 5 0.5 0.5 1 0.5 0.5 1 FALSE 0.5 FALSE 0 0 0 AICSTANredo53
54 50 100 50 5 0.5 0.5 1 0.5 0.5 1 FALSE 0.9 FALSE 0 0 0 AICSTANredo54
55 50 100 50 5 0.5 0.5 1 0.5 0.5 3 TRUE 0.1 FALSE 0 0 0 AICSTANredo55
56 50 100 50 5 0.5 0.5 1 0.5 0.5 3 TRUE 0.5 FALSE 0 0 0 AICSTANredo56
57 50 100 50 5 0.5 0.5 1 0.5 0.5 3 TRUE 0.9 FALSE 0 0 0 AICSTANredo57
58 50 100 50 5 0.5 0.5 1 0.5 0.5 3 FALSE 0.1 FALSE 0 0 0 AICSTANredo58
59 50 100 50 5 0.5 0.5 1 0.5 0.5 3 FALSE 0.5 FALSE 0 0 0 AICSTANredo59
60 50 100 50 5 0.5 0.5 1 0.5 0.5 3 FALSE 0.9 FALSE 0 0 0 AICSTANredo60
61 50 100 50 5 0.5 0.5 1 0.5 0.8 1 TRUE 0.1 FALSE 0 0 0 AICSTANredo61
62 50 100 50 5 0.5 0.5 1 0.5 0.8 1 TRUE 0.5 FALSE 0 0 0 AICSTANredo62
63 50 100 50 5 0.5 0.5 1 0.5 0.8 1 TRUE 0.9 FALSE 0 0 0 AICSTANredo63
64 50 100 50 5 0.5 0.5 1 0.5 0.8 1 FALSE 0.1 FALSE 0 0 0 AICSTANredo64
65 50 100 50 5 0.5 0.5 1 0.5 0.8 1 FALSE 0.5 FALSE 0 0 0 AICSTANredo65
66 50 100 50 5 0.5 0.5 1 0.5 0.8 1 FALSE 0.9 FALSE 0 0 0 AICSTANredo66
67 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.1 FALSE 0 0 0 AICSTANredo67
68 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.5 FALSE 0 0 0 AICSTANredo68
69 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0 0 0 AICSTANredo69
70 50 100 50 5 0.5 0.5 1 0.5 0.8 3 FALSE 0.1 FALSE 0 0 0 AICSTANredo70
71 50 100 50 5 0.5 0.5 1 0.5 0.8 3 FALSE 0.5 FALSE 0 0 0 AICSTANredo71
72 50 100 50 5 0.5 0.5 1 0.5 0.8 3 FALSE 0.9 FALSE 0 0 0 AICSTANredo72
73 50 100 50 5 0.5 0.5 1 0.5 0.2 1 TRUE 0.1 FALSE 0 0 0 AICSTANredo73
74 50 100 50 5 0.5 0.5 1 0.5 0.2 1 TRUE 0.5 FALSE 0 0 0 AICSTANredo74
75 50 100 50 5 0.5 0.5 1 0.5 0.2 1 TRUE 0.9 FALSE 0 0 0 AICSTANredo75
76 50 100 50 5 0.5 0.5 1 0.5 0.2 1 FALSE 0.1 FALSE 0 0 0 AICSTANredo76
77 50 100 50 5 0.5 0.5 1 0.5 0.2 1 FALSE 0.5 FALSE 0 0 0 AICSTANredo77
78 50 100 50 5 0.5 0.5 1 0.5 0.2 1 FALSE 0.9 FALSE 0 0 0 AICSTANredo78
79 50 100 50 5 0.5 0.5 1 0.5 0.2 3 TRUE 0.1 FALSE 0 0 0 AICSTANredo79
80 50 100 50 5 0.5 0.5 1 0.5 0.2 3 TRUE 0.5 FALSE 0 0 0 AICSTANredo80
81 50 100 50 5 0.5 0.5 1 0.5 0.2 3 TRUE 0.9 FALSE 0 0 0 AICSTANredo81
82 50 100 50 5 0.5 0.5 1 0.5 0.2 3 FALSE 0.1 FALSE 0 0 0 AICSTANredo82
83 50 100 50 5 0.5 0.5 1 0.5 0.2 3 FALSE 0.5 FALSE 0 0 0 AICSTANredo83
84 50 100 50 5 0.5 0.5 1 0.5 0.2 3 FALSE 0.9 FALSE 0 0 0 AICSTANredo84
85 50 100 50 5 0.5 0.5 1 0.5 0.5 1 TRUE 0.1 FALSE 0 0 0 AICSTANredo85
86 50 100 50 5 0.5 0.5 1 0.5 0.5 1 TRUE 0.5 FALSE 0 0 0 AICSTANredo86
87 50 100 50 5 0.5 0.5 1 0.5 0.5 1 TRUE 0.9 FALSE 0 0 0 AICSTANredo87
88 50 100 50 5 0.5 0.5 1 0.5 0.5 1 FALSE 0.1 FALSE 0 0 0 AICSTANredo88
89 50 100 50 5 0.5 0.5 1 0.5 0.5 1 FALSE 0.5 FALSE 0 0 0 AICSTANredo89
90 50 100 50 5 0.5 0.5 1 0.5 0.5 1 FALSE 0.9 FALSE 0 0 0 AICSTANredo90
91 50 100 50 5 0.5 0.5 1 0.5 0.5 3 TRUE 0.1 FALSE 0 0 0 AICSTANredo91
92 50 100 50 5 0.5 0.5 1 0.5 0.5 3 TRUE 0.5 FALSE 0 0 0 AICSTANredo92
93 50 100 50 5 0.5 0.5 1 0.5 0.5 3 TRUE 0.9 FALSE 0 0 0 AICSTANredo93
94 50 100 50 5 0.5 0.5 1 0.5 0.5 3 FALSE 0.1 FALSE 0 0 0 AICSTANredo94
95 50 100 50 5 0.5 0.5 1 0.5 0.5 3 FALSE 0.5 FALSE 0 0 0 AICSTANredo95
96 50 100 50 5 0.5 0.5 1 0.5 0.5 3 FALSE 0.9 FALSE 0 0 0 AICSTANredo96
97 50 100 50 5 0.5 0.5 1 0.5 0.8 1 TRUE 0.1 FALSE 0 0 0 AICSTANredo97
98 50 100 50 5 0.5 0.5 1 0.5 0.8 1 TRUE 0.5 FALSE 0 0 0 AICSTANredo98
99 50 100 50 5 0.5 0.5 1 0.5 0.8 1 TRUE 0.9 FALSE 0 0 0 AICSTANredo99
100 50 100 50 5 0.5 0.5 1 0.5 0.8 1 FALSE 0.1 FALSE 0 0 0 AICSTANredo100
101 50 100 50 5 0.5 0.5 1 0.5 0.8 1 FALSE 0.5 FALSE 0 0 0 AICSTANredo101
102 50 100 50 5 0.5 0.5 1 0.5 0.8 1 FALSE 0.9 FALSE 0 0 0 AICSTANredo102
103 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.1 FALSE 0 0 0 AICSTANredo103
104 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.5 FALSE 0 0 0 AICSTANredo104
105 50 100 50 5 0.5 0.5 1 0.5 0.8 3 TRUE 0.9 FALSE 0 0 0 AICSTANredo105
106 50 100 50 5 0.5 0.5 1 0.5 0.8 3 FALSE 0.1 FALSE 0 0 0 AICSTANredo106
107 50 100 50 5 0.5 0.5 1 0.5 0.8 3 FALSE 0.5 FALSE 0 0 0 AICSTANredo107
108 50 100 50 5 0.5 0.5 1 0.5 0.8 3 FALSE 0.9 FALSE 0 0 0 AICSTANredo108
