"ArrayTaskID","nameID","trial","RMSE_AIC","RMSE_GLM","RMSE_STAN","RMSE_modelAvg","AIC_TPR","AIC_TNR","GLM_TPR","GLM_TNR","modelAvg_TPR","modelAvg_TNR","STAN_beta_TPR","STAN_beta_TNR","STAN_beta_FPR","STAN_beta_FNR","AIC_coverage","GLM_coverage","Stan_coverage_escape","Stan_coverage_noescape","MAvg_coverage_escape","MAvg_coverage_noescape","numTrials","n","K","num_strong","prob_cycle","trend_fraction","freq","sigma","probWeakCorr","numStrongCorr","strongSelf","corrLevel","corrChange","propChange","changeSize","changeTimeVar"
1,"decorr1",15,1.17077308087097,4.08569279602528,1.59668039484825,1.12272476250372,0.8,0.511111111111111,0.4,0.977777777777778,0.8,0.555555555555556,0.6,0.911111111111111,0.0888888888888889,0.4,0.64,0.92,0.5,0.958333333333333,0.428571428571429,0.277777777777778,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",16,2.33148017751357,3.32596218914972,1.6086114309744,2.3739130414409,1,0.177777777777778,0.4,0.888888888888889,1,0.222222222222222,0.4,1,0,0.6,0.658536585365854,0.86,1,0.9375,0.235294117647059,0.696969696969697,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",17,2.55699988914123,3.24416886465128,1.73595022403298,2.57261377355432,0.6,0.688888888888889,0.4,0.933333333333333,0.6,0.733333333333333,0.4,0.955555555555556,0.0444444444444444,0.6,0.375,0.9,1,0.958333333333333,0.2,0.125,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",18,2.22520497885844,1.81955761667622,1.82527014131419,2.18961529575317,1,0.555555555555556,0.6,1,1,0.622222222222222,0.6,0.977777777777778,0.0222222222222222,0.4,0.75,1,1,0.914893617021277,0.692307692307692,0.27027027027027,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",19,1.4788359936557,1.68100688221961,1.6919018648198,1.2827241308301,1,0.622222222222222,0.4,1,1,0.688888888888889,0.4,1,0,0.6,0.761904761904762,1,1,1,0.625,0.261904761904762,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",20,2.42124209120843,2.60139599299611,1.69508769696019,2.48482464717438,1,0.288888888888889,0.4,0.911111111111111,1,0.311111111111111,0.8,1,0,0.2,0.472222222222222,0.92,1,0.979166666666667,0.157894736842105,0.451612903225806,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",21,0.927862180028646,2.7742077232685,1.30005996873388,0.928842172024888,1,0.688888888888889,0.4,1,1,0.733333333333333,0.8,0.977777777777778,0.0222222222222222,0.2,0.833333333333333,1,1,0.957446808510638,0.75,0.157894736842105,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",22,1.61016784048376,3.02611340992468,1.89182102220211,1.69471995048261,0.6,0.666666666666667,0.4,1,0.6,0.711111111111111,0.4,0.977777777777778,0.0222222222222222,0.6,0.764705882352941,1,1,0.979166666666667,0.636363636363636,0.153846153846154,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",23,1.11411029744521,3.95148749550697,1.33799373761183,1.0928002943126,0.8,0.733333333333333,0.4,0.933333333333333,0.8,0.777777777777778,0.6,0.977777777777778,0.0222222222222222,0.4,0.733333333333333,0.82,1,0.916666666666667,0.714285714285714,0.186046511627907,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",24,2.87687307982067,6.3419078759178,2.05735800880729,2.76926094066863,0.4,0.644444444444444,0.4,0.955555555555556,0.4,0.666666666666667,0.4,0.977777777777778,0.0222222222222222,0.6,0.352941176470588,0.96,1,0.895833333333333,0.214285714285714,0.0833333333333333,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",25,1.70437116134745,2.89681150355826,1.29494553795873,1.65097598420964,1,0.622222222222222,0.6,1,1,0.666666666666667,0.6,0.977777777777778,0.0222222222222222,0.4,0.571428571428571,1,1,0.978260869565217,0.416666666666667,0.210526315789474,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",26,1.41055103051784,1.9076001604039,1.36880225960022,1.17265924197215,1,0.333333333333333,0.4,0.977777777777778,1,0.4,0.6,0.933333333333333,0.0666666666666667,0.4,0.588235294117647,0.98,0.333333333333333,0.914893617021277,0.428571428571429,0.413793103448276,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",27,1.25363199829,3.16011365695307,1.18356611002866,1.23629976627096,0.6,0.8,0.4,1,0.6,0.822222222222222,0.4,1,0,0.6,0.454545454545455,1,1,0.958333333333333,0.333333333333333,0.0487804878048781,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",28,3.04919507424142,3.46534872089013,1.98952453689526,2.85338314473161,0.8,0.444444444444444,0.6,0.866666666666667,0.8,0.488888888888889,0.4,0.911111111111111,0.0888888888888889,0.6,0.535714285714286,0.8,1,0.9375,0.333333333333333,0.28125,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",29,1.32039935966751,11.5250426721212,2.436204054297,1.44783311162619,0.8,0.866666666666667,0.4,0.955555555555556,0.8,0.888888888888889,0.4,1,0,0.6,0.777777777777778,0.86,1,1,0.8,0.0888888888888889,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",30,2.05959784130593,3.74993980953205,2.30125953774024,1.97934294477034,0.8,0.222222222222222,0.6,0.755555555555556,0.8,0.244444444444444,0.8,0.888888888888889,0.111111111111111,0.2,0.5,0.68,0.8,0.888888888888889,0.25,0.466666666666667,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",31,2.36132629876555,2.61895277632743,1.45939623534618,1.74851378262047,0.6,0.6,0.2,1,0.6,0.666666666666667,0.4,1,0,0.6,0.6,1,1,0.9375,0.555555555555556,0.24390243902439,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",32,3.452204533443,2.71334610312355,1.81672906866538,3.406397061784,0.8,0.488888888888889,0.4,0.977777777777778,0.8,0.533333333333333,0.4,0.977777777777778,0.0222222222222222,0.6,0.423076923076923,0.96,1,0.979166666666667,0.285714285714286,0.305555555555556,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",33,1.54799929970082,3.76270407491749,1.36572988411821,1.52685766708241,1,0.444444444444444,0.8,0.822222222222222,1,0.488888888888889,0.6,0.977777777777778,0.0222222222222222,0.4,0.344827586206897,0.68,1,0.914893617021277,0.227272727272727,0.178571428571429,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",34,1.78321649428802,10.4520899773116,1.21113336910632,1.75193944439096,0.8,0.755555555555556,0.6,0.533333333333333,0.8,0.777777777777778,0.4,0.977777777777778,0.0222222222222222,0.6,0.357142857142857,0.58,1,0.958333333333333,0.25,0.0526315789473684,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",35,3.52007751001186,2.38843093434251,1.97405754277891,3.34484817271076,1,0.644444444444444,0.2,0.933333333333333,1,0.688888888888889,0.4,0.977777777777778,0.0222222222222222,0.6,0.75,0.9,1,0.938775510204082,0.5,0.261904761904762,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",36,5.12191423486782,5.53517582255725,1.83987971194435,4.42671077148558,0.6,0.644444444444444,0.4,1,0.4,0.666666666666667,0.4,1,0,0.6,0.388888888888889,1,1,0.958333333333333,0.181818181818182,0.153846153846154,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",37,2.47481357899457,2.59523194223319,1.79622105390839,2.37647936962624,1,0.333333333333333,0.4,0.955555555555556,1,0.377777777777778,1,0.955555555555556,0.0444444444444444,0,0.411764705882353,0.92,1,0.957446808510638,0.142857142857143,0.379310344827586,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",38,2.05840553451409,4.01861673850407,1.33510074329796,2.02223096567572,0.6,0.777777777777778,0.4,1,0.6,0.822222222222222,0.6,1,0,0.4,0.583333333333333,1,1,0.958333333333333,0.375,0.0952380952380952,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
1,"decorr1",39,0.673591881812464,2.23799865526072,0.986506694715168,0.683612712242875,0.4,0.888888888888889,0.2,1,0.4,0.911111111111111,0.4,1,0,0.6,0.666666666666667,1,1,0.854166666666667,0.5,0.0434782608695652,50,100,50,5,0.5,0.5,1,0.5,0.8,3,TRUE,0.9,TRUE,0.75,0,0
